entity_a_id,entity_b_id,cosine_similarity
entity_44,entity_95,0.7065428495407104
entity_44,entity_109,0.5651735067367554
entity_44,entity_118,0.4550367593765259
entity_44,entity_128,0.2896729111671448
entity_44,entity_134,0.4415656328201294
entity_44,entity_142,0.44212955236434937
entity_44,entity_147,0.13217999041080475
entity_44,entity_152,0.35689693689346313
entity_44,entity_163,0.740052342414856
entity_44,entity_172,0.294788122177124
entity_44,entity_185,0.6039918661117554
entity_48,entity_95,0.24318549036979675
entity_48,entity_109,0.25688642263412476
entity_48,entity_118,0.26064786314964294
entity_48,entity_128,0.4752761125564575
entity_48,entity_134,0.40742433071136475
entity_48,entity_142,0.20815536379814148
entity_48,entity_147,0.2433786243200302
entity_48,entity_152,0.5571306943893433
entity_48,entity_163,0.29998645186424255
entity_48,entity_172,0.5299892425537109
entity_48,entity_185,0.4485313892364502
entity_53,entity_95,0.3352920711040497
entity_53,entity_109,0.33693844079971313
entity_53,entity_118,0.29451146721839905
entity_53,entity_128,0.7240874767303467
entity_53,entity_134,0.6477913856506348
entity_53,entity_142,0.3924768269062042
entity_53,entity_147,0.3192714750766754
entity_53,entity_152,0.6180484294891357
entity_53,entity_163,0.33126237988471985
entity_53,entity_172,0.5760853886604309
entity_53,entity_185,0.7151966094970703
entity_60,entity_95,0.5116710066795349
entity_60,entity_109,0.42163437604904175
entity_60,entity_118,0.4243733286857605
entity_60,entity_128,0.6185432076454163
entity_60,entity_134,0.8073055148124695
entity_60,entity_142,0.5094132423400879
entity_60,entity_147,0.11606316268444061
entity_60,entity_152,0.432744562625885
entity_60,entity_163,0.5394942164421082
entity_60,entity_172,0.3483993709087372
entity_60,entity_185,0.7758274674415588
entity_66,entity_95,0.3457523286342621
entity_66,entity_109,0.3449561595916748
entity_66,entity_118,0.24556279182434082
entity_66,entity_128,0.4850906729698181
entity_66,entity_134,0.3956954777240753
entity_66,entity_142,0.1974564790725708
entity_66,entity_147,0.49674221873283386
entity_66,entity_152,0.7651972770690918
entity_66,entity_163,0.29152610898017883
entity_66,entity_172,0.7363904118537903
entity_66,entity_185,0.5181143283843994
entity_76,entity_95,0.4065224528312683
entity_76,entity_109,0.37212032079696655
entity_76,entity_118,0.40718817710876465
entity_76,entity_128,0.46685630083084106
entity_76,entity_134,0.5784468650817871
entity_76,entity_142,0.40005576610565186
entity_76,entity_147,0.17405888438224792
entity_76,entity_152,0.43748870491981506
entity_76,entity_163,0.4937725365161896
entity_76,entity_172,0.4145047664642334
entity_76,entity_185,0.5705174803733826
entity_82,entity_95,0.4355163276195526
entity_82,entity_109,0.42217254638671875
entity_82,entity_118,0.5263361930847168
entity_82,entity_128,0.31771811842918396
entity_82,entity_134,0.3697625398635864
entity_82,entity_142,0.21285182237625122
entity_82,entity_147,0.23136723041534424
entity_82,entity_152,0.4791264533996582
entity_82,entity_163,0.3977290391921997
entity_82,entity_172,0.45829343795776367
entity_82,entity_185,0.45006775856018066
entity_45,entity_96,0.9260566234588623
entity_45,entity_97,0.5660750865936279
entity_45,entity_98,0.46921318769454956
entity_45,entity_99,0.5073633193969727
entity_45,entity_100,0.5573079586029053
entity_45,entity_101,0.4841020405292511
entity_45,entity_102,0.4804202914237976
entity_45,entity_103,0.4308393597602844
entity_45,entity_104,0.5541179776191711
entity_45,entity_105,0.5211648941040039
entity_45,entity_106,0.4649461805820465
entity_45,entity_107,0.5668351650238037
entity_45,entity_108,0.3275904953479767
entity_45,entity_110,0.6302039623260498
entity_45,entity_111,0.24562039971351624
entity_45,entity_112,0.269292950630188
entity_45,entity_113,0.26239264011383057
entity_45,entity_114,0.21230070292949677
entity_45,entity_115,0.49963414669036865
entity_45,entity_116,0.22595378756523132
entity_45,entity_117,0.22736817598342896
entity_45,entity_119,0.4966656565666199
entity_45,entity_120,0.16836193203926086
entity_45,entity_121,0.31496530771255493
entity_45,entity_122,0.2752448618412018
entity_45,entity_123,0.2598181366920471
entity_45,entity_124,0.18121111392974854
entity_45,entity_125,0.18969714641571045
entity_45,entity_126,0.2660744786262512
entity_45,entity_127,0.2002570480108261
entity_45,entity_129,0.5925062894821167
entity_45,entity_130,0.4550569951534271
entity_45,entity_131,0.31896722316741943
entity_45,entity_132,0.16878598928451538
entity_45,entity_133,0.352597177028656
