v,source,target,all,all_true,filtered,filtered_true
1,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
1,imdb,sakila,0.11606170615109551,,0.10846522890932808,
1,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
2,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
2,imdb,sakila,0.11606170615109551,,0.10846522890932808,
2,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
3,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
3,imdb,sakila,0.11606170615109551,,0.10846522890932808,
3,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
4,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
4,imdb,sakila,0.11606170615109551,,0.10846522890932808,
4,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
5,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
5,imdb,sakila,0.11606170615109551,,0.10846522890932808,
5,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
6,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
6,imdb,sakila,0.11606170615109551,,0.10846522890932808,
6,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
7,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
7,imdb,sakila,0.11606170615109551,,0.10846522890932808,
7,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
8,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
8,imdb,sakila,0.11606170615109551,,0.10846522890932808,
8,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
9,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
9,imdb,sakila,0.11606170615109551,,0.10846522890932808,
9,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
10,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
10,imdb,sakila,0.11606170615109551,,0.10846522890932808,
10,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
11,imdb,movielens,0.011085268320191037,-0.6659027536546026,0.5316597678488236,-0.3692744729379982
11,imdb,sakila,0.11606170615109551,,0.10846522890932808,
11,sakila,movielens,-0.02820568607688135,-0.14269838324944908,0.046004370622823636,
12,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
12,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
12,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
13,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
13,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
13,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
14,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
14,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
14,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
15,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
15,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
15,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
16,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
16,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
16,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
17,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
17,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
17,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
18,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
18,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
18,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
19,imdb,movielens,-0.13781093738812336,-0.8098265767375833,0.3223595239024316,
19,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
19,sakila,movielens,0.14927928032484475,-0.2785966216881993,0.35186577527449836,
20,imdb,movielens,-0.13781093738812333,-0.8098265767375833,0.3223595239024316,
20,imdb,sakila,-0.5035982184441229,-0.6368255916012346,0.21926450482675727,
20,sakila,movielens,0.1114517075894674,-0.3133290573424339,0.19623283621077786,-0.46097722286464443
21,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
21,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
21,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
22,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
22,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
22,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
23,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
23,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
23,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
24,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
24,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
24,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
25,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
25,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
25,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
26,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
26,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
26,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
27,imdb,movielens,-0.1708766856503301,-0.8336550215650927,0.12380474468716562,-0.6846531968814576
27,imdb,sakila,-0.6242988803840225,-0.757427320027946,0.25000000000000006,
27,sakila,movielens,0.11065337435597868,-0.36964393223294867,0.16806139112183882,-0.6454972243679028
28,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
28,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
28,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
29,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
29,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
29,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
30,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
30,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
30,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
31,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
31,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
31,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
32,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
32,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
32,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
33,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
33,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
33,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
34,imdb,movielens,-0.1452825388923807,-0.8114051875471209,0.23410341035473944,-0.540061724867322
34,imdb,sakila,-0.6942207356348568,-0.8194243776454365,0.25000000000000006,
34,sakila,movielens,0.1487229574370197,-0.3661769269800218,0.2988436344962805,-0.5976143046671969
35,imdb,movielens,-0.163535783386545,-0.8322064452811977,0.22658174179374138,
35,imdb,sakila,-0.6895926597190973,-0.8297658265202548,0.28203803740888306,
35,sakila,movielens,0.1150966741925341,-0.3941317112657175,0.26549712202679593,-0.6123724356957946
36,imdb,movielens,-0.163535783386545,-0.8322064452811977,0.22658174179374138,
36,imdb,sakila,-0.6895926597190973,-0.8297658265202548,0.28203803740888306,
36,sakila,movielens,0.1150966741925341,-0.3941317112657175,0.26549712202679593,-0.6123724356957946
37,imdb,movielens,-0.1848618028112187,-0.9057110466368399,-0.0300692389662132,-1.0
37,imdb,sakila,-0.6895926597190973,-0.8297658265202548,0.28203803740888306,
37,sakila,movielens,0.05570076234782747,-0.45421435425540074,0.32489314482696574,
38,imdb,movielens,-0.1848618028112187,-0.9057110466368399,-0.0300692389662132,-1.0
38,imdb,sakila,-0.6895926597190973,-0.8297658265202548,0.28203803740888306,
38,sakila,movielens,0.05570076234782747,-0.45421435425540074,0.32489314482696574,
39,imdb,movielens,-0.1848618028112187,-0.9057110466368399,-0.0300692389662132,-1.0
39,imdb,sakila,-0.6895926597190973,-0.8297658265202548,0.28203803740888306,
39,sakila,movielens,0.05570076234782747,-0.45421435425540074,0.32489314482696574,
40,imdb,movielens,-0.1848618028112187,-0.9057110466368399,-0.0300692389662132,-1.0
40,imdb,sakila,-0.6895926597190973,-0.8297658265202548,0.28203803740888306,
40,sakila,movielens,0.05570076234782747,-0.45421435425540074,0.32489314482696574,
41,imdb,movielens,-0.1848618028112187,-0.9057110466368399,-0.0300692389662132,-1.0
41,imdb,sakila,-0.7478027234680464,-0.90571104663684,0.35355339059327373,
